Country/Region,Province/State,Admin2,Population
US,Iowa,Clay,16134
US,Iowa,Clayton,17556
US,Iowa,Clinton,46518
US,Iowa,Crawford,17158
US,Iowa,Dallas,90180
US,Iowa,Davis,9017
US,Iowa,Decatur,7890
US,Iowa,Delaware,17069
US,Iowa,Des Moines,39138
US,Iowa,Dickinson,17153
US,Iowa,Dubuque,96854
US,Iowa,Emmet,9253
US,Iowa,Fayette,19660
US,Iowa,Floyd,15761
US,Iowa,Franklin,10124
US,Iowa,Fremont,6993
US,Iowa,Greene,8981
US,Iowa,Grundy,12304
US,Iowa,Guthrie,10720
US,Iowa,Hamilton,14952
US,Iowa,Hancock,10712
US,Iowa,Hardin,16868
US,Iowa,Harrison,14134
US,Iowa,Henry,20067
US,Iowa,Howard,9187
US,Iowa,Humboldt,9547
US,Iowa,Ida,6841
US,Iowa,Iowa,16141
US,Iowa,Jackson,19432
US,Iowa,Jasper,37147
US,Iowa,Jefferson,18381
US,Iowa,Johnson,151260
US,Iowa,Jones,20744
US,Iowa,Keokuk,10225
US,Iowa,Kossuth,14908
US,Iowa,Lee,34055
US,Iowa,Linn,225909
US,Iowa,Louisa,11169
US,Iowa,Lucas,8645
US,Iowa,Lyon,11811
US,Iowa,Madison,16249
US,Iowa,Mahaska,22000
US,Iowa,Marion,33407
US,Iowa,Marshall,39981
US,Iowa,Mills,15063
US,Iowa,Mitchell,10569
US,Iowa,Monona,8679
US,Iowa,Monroe,7790
US,Iowa,Montgomery,10003
US,Iowa,Muscatine,42929
US,Iowa,O'Brien,13840
US,Iowa,Osceola,6040
US,Iowa,Page,15249
US,Iowa,Palo Alto,8929
US,Iowa,Plymouth,25095
US,Iowa,Pocahontas,6740
US,Iowa,Polk,487204
US,Iowa,Pottawattamie,93533
US,Iowa,Poweshiek,18699
US,Iowa,Ringgold,4968
US,Iowa,Sac,9719
US,Iowa,Scott,173283
US,Iowa,Shelby,11578
US,Iowa,Sioux,34909
US,Iowa,Story,98105
US,Iowa,Tama,16904
US,Iowa,Taylor,6191
US,Iowa,Union,12359
US,Iowa,Van Buren,7020
US,Iowa,Wapello,35205
US,Iowa,Warren,51056
US,Iowa,Washington,22141
US,Iowa,Wayne,6401
US,Iowa,Webster,36277
US,Iowa,Winnebago,10518
US,Iowa,Winneshiek,20029
US,Iowa,Woodbury,102539
US,Iowa,Worth,7453
US,Iowa,Wright,12690
US,Kansas,Allen,12444
US,Kansas,Anderson,7878
US,Kansas,Atchison,16193
US,Kansas,Barber,4472
US,Kansas,Barton,26111
US,Kansas,Bourbon,14653
US,Kansas,Brown,9598
US,Kansas,Butler,66765
US,Kansas,Chase,2629
US,Kansas,Chautauqua,3309
US,Kansas,Cherokee,20015
US,Kansas,Cheyenne,2660
US,Kansas,Clark,2005
US,Kansas,Clay,7997
US,Kansas,Cloud,8729
US,Kansas,Coffey,8233
US,Kansas,Comanche,1748
US,Kansas,Cowley,35218
US,Kansas,Crawford,39019
US,Kansas,Decatur,2871
US,Kansas,Dickinson,18717
US,Kansas,Doniphan,7682
US,Kansas,Douglas,121436
US,Kansas,Edwards,2849
US,Kansas,Elk,2508
US,Kansas,Ellis,28710
US,Kansas,Ellsworth,6196
US,Kansas,Finney,36611
US,Kansas,Ford,33888
US,Kansas,Franklin,25631
US,Kansas,Geary,32594
US,Kansas,Gove,2612
US,Kansas,Graham,2492
US,Kansas,Grant,7336
US,Kansas,Gray,6033
US,Kansas,Greeley,1227
US,Kansas,Greenwood,6055
US,Kansas,Hamilton,2607
US,Kansas,Harper,5506
US,Kansas,Harvey,34210
US,Kansas,Haskell,3997
