Date,Country/Region,Confirmed,Deaths,Recovered,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed
2020-02-05,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-02-05,Sweden,1,0,0,1,1,0,0,1,1,10333456,0,0,0,0,0
2020-02-05,Taiwan*,11,0,0,11,11,0,0,11,10,23604265,0,0,0,0,1
2020-02-05,Thailand,25,0,0,25,25,0,0,25,19,66484342,0,0,0,0,6
2020-02-05,US,11,0,0,11,11,0,0,11,11,329493716,0,0,0,0,0
2020-02-05,United Arab Emirates,5,0,0,5,5,0,0,5,5,9890400,0,0,0,0,0
2020-02-05,United Kingdom,2,0,0,2,2,0,0,2,2,66435600,0,0,0,0,0
2020-02-05,Vietnam,8,0,0,8,8,0,0,8,8,96208984,0,0,0,0,0
2020-02-06,Australia,14,0,0,14,13,0,0,13,13,25654023,1,0,0,1,0
2020-02-06,Belgium,1,0,0,1,1,0,0,1,1,11524454,0,0,0,0,0
2020-02-06,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-06,Canada,5,0,0,5,5,0,0,5,4,37966227,0,0,0,0,1
2020-02-06,China,30587,633,0,29954,27440,563,0,26877,23707,1401870440,3147,70,0,3077,3733
2020-02-06,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-06,France,6,0,0,6,6,0,0,6,6,67069000,0,0,0,0,0
2020-02-06,Germany,12,0,0,12,12,0,0,12,12,83149300,0,0,0,0,0
2020-02-06,India,3,0,0,3,3,0,0,3,3,1360094159,0,0,0,0,0
2020-02-06,Italy,2,0,0,2,2,0,0,2,2,60243406,0,0,0,0,0
2020-02-06,Japan,22,0,0,22,22,0,0,22,22,126010000,0,0,0,0,0
2020-02-06,"Korea, South",23,0,0,23,19,0,0,19,16,51780579,4,0,0,4,3
2020-02-06,Malaysia,12,0,0,12,12,0,0,12,10,32726760,0,0,0,0,2
2020-02-06,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-02-06,Philippines,2,1,0,1,2,1,0,1,2,108438081,0,0,0,0,0
2020-02-06,Russia,2,0,0,2,2,0,0,2,2,146745098,0,0,0,0,0
2020-02-06,Singapore,28,0,0,28,28,0,0,28,24,5703600,0,0,0,0,4
2020-02-06,Spain,1,0,0,1,1,0,0,1,1,47100396,0,0,0,0,0
2020-02-06,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
